country,sex,edu_lfs,dos_lfs,oecd,regionb,oecdb,fborn,number
AUS,1,1,1,1,AFRI,0,1,2726
AUS,1,2,1,1,AFRI,0,1,9976
AUS,1,3,1,1,AFRI,0,1,15027
AUS,1,99,1,1,AFRI,0,1,1830
AUS,1,1,2,1,AFRI,0,1,3473
AUS,1,2,2,1,AFRI,0,1,15059
AUS,1,3,2,1,AFRI,0,1,18422
AUS,1,99,2,1,AFRI,0,1,2113
AUS,1,1,3,1,AFRI,0,1,7747
AUS,1,2,3,1,AFRI,0,1,38633
AUS,1,3,3,1,AFRI,0,1,51516
AUS,1,99,3,1,AFRI,0,1,6556
AUS,1,1,99,1,AFRI,0,1,425
AUS,1,2,99,1,AFRI,0,1,1130
AUS,1,3,99,1,AFRI,0,1,1078
AUS,1,99,99,1,AFRI,0,1,1402
AUS,2,1,1,1,AFRI,0,1,3739
AUS,2,2,1,1,AFRI,0,1,9207
AUS,2,3,1,1,AFRI,0,1,14721
AUS,2,99,1,1,AFRI,0,1,1934
AUS,2,1,2,1,AFRI,0,1,4559
AUS,2,2,2,1,AFRI,0,1,13355
AUS,2,3,2,1,AFRI,0,1,19092
AUS,2,99,2,1,AFRI,0,1,2778
AUS,2,1,3,1,AFRI,0,1,13236
AUS,2,2,3,1,AFRI,0,1,32165
AUS,2,3,3,1,AFRI,0,1,51605
AUS,2,99,3,1,AFRI,0,1,8900
AUS,2,1,99,1,AFRI,0,1,591
AUS,2,2,99,1,AFRI,0,1,950
AUS,2,3,99,1,AFRI,0,1,1154
AUS,2,99,99,1,AFRI,0,1,951
AUS,1,1,1,1,ASIA,0,1,40214
AUS,1,2,1,1,ASIA,0,1,111576
AUS,1,3,1,1,ASIA,0,1,160254
AUS,1,99,1,1,ASIA,0,1,15850
AUS,1,1,2,1,ASIA,0,1,21217
AUS,1,2,2,1,ASIA,0,1,68586
AUS,1,3,2,1,ASIA,0,1,145657
AUS,1,99,2,1,ASIA,0,1,10081
AUS,1,1,3,1,ASIA,0,1,78232
AUS,1,2,3,1,ASIA,0,1,163165
AUS,1,3,3,1,ASIA,0,1,257518
AUS,1,99,3,1,ASIA,0,1,26397
AUS,1,1,99,1,ASIA,0,1,5704
AUS,1,2,99,1,ASIA,0,1,12212
AUS,1,3,99,1,ASIA,0,1,10387
AUS,1,99,99,1,ASIA,0,1,8694
AUS,2,1,1,1,ASIA,0,1,43110
AUS,2,2,1,1,ASIA,0,1,114922
AUS,2,3,1,1,ASIA,0,1,189350
AUS,2,99,1,1,ASIA,0,1,18435
AUS,2,1,2,1,ASIA,0,1,28081
AUS,2,2,2,1,ASIA,0,1,63633
AUS,2,3,2,1,ASIA,0,1,151848
AUS,2,99,2,1,ASIA,0,1,11227
AUS,2,1,3,1,ASIA,0,1,117234
AUS,2,2,3,1,ASIA,0,1,162279
AUS,2,3,3,1,ASIA,0,1,277824
AUS,2,99,3,1,ASIA,0,1,37193
AUS,2,1,99,1,ASIA,0,1,8705
AUS,2,2,99,1,ASIA,0,1,13051
AUS,2,3,99,1,ASIA,0,1,13323
AUS,2,99,99,1,ASIA,0,1,6857
AUS,1,1,1,1,ASIA,1,1,1106
AUS,1,2,1,1,ASIA,1,1,7962
AUS,1,3,1,1,ASIA,1,1,6480
AUS,1,99,1,1,ASIA,1,1,820
AUS,1,1,2,1,ASIA,1,1,554
AUS,1,2,2,1,ASIA,1,1,4365
AUS,1,3,2,1,ASIA,1,1,6385
AUS,1,99,2,1,ASIA,1,1,420
AUS,1,1,3,1,ASIA,1,1,1389
AUS,1,2,3,1,ASIA,1,1,10241
AUS,1,3,3,1,ASIA,1,1,14804
AUS,1,99,3,1,ASIA,1,1,1282
AUS,1,1,99,1,ASIA,1,1,256
AUS,1,2,99,1,ASIA,1,1,1709
AUS,1,3,99,1,ASIA,1,1,722
AUS,1,99,99,1,ASIA,1,1,469
AUS,2,1,1,1,ASIA,1,1,971
AUS,2,2,1,1,ASIA,1,1,8297
AUS,2,3,1,1,ASIA,1,1,9879
AUS,2,99,1,1,ASIA,1,1,1276
AUS,2,1,2,1,ASIA,1,1,616
AUS,2,2,2,1,ASIA,1,1,5184
AUS,2,3,2,1,ASIA,1,1,10126
AUS,2,99,2,1,ASIA,1,1,771
AUS,2,1,3,1,ASIA,1,1,1946
AUS,2,2,3,1,ASIA,1,1,12709
AUS,2,3,3,1,ASIA,1,1,22729
AUS,2,99,3,1,ASIA,1,1,2109
AUS,2,1,99,1,ASIA,1,1,288
AUS,2,2,99,1,ASIA,1,1,1749
AUS,2,3,99,1,ASIA,1,1,1117
AUS,2,99,99,1,ASIA,1,1,572
AUS,1,1,1,1,EURO,0,1,401
AUS,1,2,1,1,EURO,0,1,2008
AUS,1,3,1,1,EURO,0,1,3613
AUS,1,99,1,1,EURO,0,1,381
AUS,1,1,2,1,EURO,0,1,430
