coub,sex,edu_lfs,dos_lfs,oecd,regionb,oecdb,fborn,number
ABW,1,1,1,1,SCAC,0,1,83
ABW,1,2,1,1,SCAC,0,1,360
ABW,1,3,1,1,SCAC,0,1,267
ABW,1,1,2,1,SCAC,0,1,412
ABW,1,2,2,1,SCAC,0,1,524
ABW,1,3,2,1,SCAC,0,1,312
ABW,1,1,3,1,SCAC,0,1,945
ABW,1,2,3,1,SCAC,0,1,5048
ABW,1,3,3,1,SCAC,0,1,6017
ABW,1,99,3,1,SCAC,0,1,3
ABW,1,2,99,1,SCAC,0,1,10
ABW,1,3,99,1,SCAC,0,1,16
ABW,1,99,99,1,SCAC,0,1,4
ABW,2,1,1,1,SCAC,0,1,172
ABW,2,2,1,1,SCAC,0,1,232
ABW,2,3,1,1,SCAC,0,1,312
ABW,2,1,2,1,SCAC,0,1,10
ABW,2,2,2,1,SCAC,0,1,421
ABW,2,3,2,1,SCAC,0,1,321
ABW,2,1,3,1,SCAC,0,1,1551
ABW,2,2,3,1,SCAC,0,1,5798
ABW,2,3,3,1,SCAC,0,1,9646
ABW,2,99,3,1,SCAC,0,1,3
ABW,2,1,99,1,SCAC,0,1,10
ABW,2,3,99,1,SCAC,0,1,12
ABW,2,99,99,1,SCAC,0,1,1
AFG,1,1,1,1,ASIA,0,1,91992
AFG,1,2,1,1,ASIA,0,1,25003
AFG,1,3,1,1,ASIA,0,1,10766
AFG,1,99,1,1,ASIA,0,1,15522
AFG,1,1,2,1,ASIA,0,1,28596
AFG,1,2,2,1,ASIA,0,1,15239
AFG,1,3,2,1,ASIA,0,1,8599
AFG,1,99,2,1,ASIA,0,1,1780
AFG,1,1,3,1,ASIA,0,1,57522
AFG,1,2,3,1,ASIA,0,1,54982
AFG,1,3,3,1,ASIA,0,1,45313
AFG,1,99,3,1,ASIA,0,1,2515
AFG,1,1,99,1,ASIA,0,1,3941
AFG,1,2,99,1,ASIA,0,1,1087
AFG,1,3,99,1,ASIA,0,1,565
