country,sex,edu_lfs,lfs,age,oecd,regionb,oecdb,fborn,number
AUS,1,1,1,1,1,AFRI,0,1,945
AUS,1,1,2,1,1,AFRI,0,1,614
AUS,1,1,3,1,1,AFRI,0,1,3788
AUS,1,1,99,1,1,AFRI,0,1,3
AUS,1,1,1,2,1,AFRI,0,1,3485
AUS,1,1,2,2,1,AFRI,0,1,738
AUS,1,1,3,2,1,AFRI,0,1,1913
AUS,1,1,99,2,1,AFRI,0,1,60
AUS,1,1,1,3,1,AFRI,0,1,323
AUS,1,1,3,3,1,AFRI,0,1,2379
AUS,1,1,99,3,1,AFRI,0,1,21
AUS,1,2,1,1,1,AFRI,0,1,7864
AUS,1,2,2,1,1,AFRI,0,1,2505
AUS,1,2,3,1,1,AFRI,0,1,5403
AUS,1,2,99,1,1,AFRI,0,1,61
AUS,1,2,1,2,1,AFRI,0,1,31977
AUS,1,2,2,2,1,AFRI,0,1,3067
AUS,1,2,3,2,1,AFRI,0,1,4906
AUS,1,2,99,2,1,AFRI,0,1,183
AUS,1,2,1,3,1,AFRI,0,1,1903
AUS,1,2,2,3,1,AFRI,0,1,90
AUS,1,2,3,3,1,AFRI,0,1,6731
AUS,1,2,99,3,1,AFRI,0,1,90
AUS,1,3,1,1,1,AFRI,0,1,2209
AUS,1,3,2,1,1,AFRI,0,1,372
AUS,1,3,3,1,1,AFRI,0,1,508
AUS,1,3,99,1,1,AFRI,0,1,8
AUS,1,3,1,2,1,AFRI,0,1,63984
AUS,1,3,2,2,1,AFRI,0,1,3978
AUS,1,3,3,2,1,AFRI,0,1,5371
AUS,1,3,99,2,1,AFRI,0,1,132
AUS,1,3,1,3,1,AFRI,0,1,3106
AUS,1,3,2,3,1,AFRI,0,1,201
AUS,1,3,3,3,1,AFRI,0,1,6112
AUS,1,3,99,3,1,AFRI,0,1,39
AUS,1,99,1,1,1,AFRI,0,1,449
AUS,1,99,2,1,1,AFRI,0,1,155
AUS,1,99,3,1,1,AFRI,0,1,733
AUS,1,99,99,1,1,AFRI,0,1,132
AUS,1,99,1,2,1,AFRI,0,1,5181
AUS,1,99,2,2,1,AFRI,0,1,525
AUS,1,99,3,2,1,AFRI,0,1,1627
AUS,1,99,99,2,1,AFRI,0,1,533
AUS,1,99,1,3,1,AFRI,0,1,383
AUS,1,99,2,3,1,AFRI,0,1,30
AUS,1,99,3,3,1,AFRI,0,1,1771
AUS,1,99,99,3,1,AFRI,0,1,280
AUS,2,1,1,1,1,AFRI,0,1,918
AUS,2,1,2,1,1,AFRI,0,1,549
AUS,2,1,3,1,1,AFRI,0,1,3690
AUS,2,1,99,1,1,AFRI,0,1,6
AUS,2,1,1,2,1,AFRI,0,1,3124
AUS,2,1,2,2,1,AFRI,0,1,860
AUS,2,1,3,2,1,AFRI,0,1,5910
AUS,2,1,99,2,1,AFRI,0,1,73
AUS,2,1,1,3,1,AFRI,0,1,318
AUS,2,1,2,3,1,AFRI,0,1,10
AUS,2,1,3,3,1,AFRI,0,1,6477
AUS,2,1,99,3,1,AFRI,0,1,44
AUS,2,2,1,1,1,AFRI,0,1,7053
AUS,2,2,2,1,1,AFRI,0,1,2211
AUS,2,2,3,1,1,AFRI,0,1,5509
AUS,2,2,99,1,1,AFRI,0,1,36
AUS,2,2,1,2,1,AFRI,0,1,20259
AUS,2,2,2,2,1,AFRI,0,1,2527
AUS,2,2,3,2,1,AFRI,0,1,10508
AUS,2,2,99,2,1,AFRI,0,1,157
AUS,2,2,1,3,1,AFRI,0,1,934
AUS,2,2,2,3,1,AFRI,0,1,55
AUS,2,2,3,3,1,AFRI,0,1,6252
AUS,2,2,99,3,1,AFRI,0,1,68
AUS,2,3,1,1,1,AFRI,0,1,3269
AUS,2,3,2,1,1,AFRI,0,1,516
AUS,2,3,3,1,1,AFRI,0,1,716
AUS,2,3,99,1,1,AFRI,0,1,3
AUS,2,3,1,2,1,AFRI,0,1,57922
AUS,2,3,2,2,1,AFRI,0,1,3776
AUS,2,3,3,2,1,AFRI,0,1,13190
AUS,2,3,99,2,1,AFRI,0,1,173
AUS,2,3,1,3,1,AFRI,0,1,1601
AUS,2,3,2,3,1,AFRI,0,1,60
AUS,2,3,3,3,1,AFRI,0,1,5373
AUS,2,3,99,3,1,AFRI,0,1,49
AUS,2,99,1,1,1,AFRI,0,1,396
AUS,2,99,2,1,1,AFRI,0,1,192
AUS,2,99,3,1,1,AFRI,0,1,637
AUS,2,99,99,1,1,AFRI,0,1,91
AUS,2,99,1,2,1,AFRI,0,1,5079
