coub,sex,edu_lfs,lfs,age,oecd,regionb,oecdb,fborn,number
ABW,1,1,3,1,1,SCAC,0,1,17
ABW,1,1,2,3,1,SCAC,0,1,112
ABW,1,1,3,3,1,SCAC,0,1,254
ABW,1,1,1,99,1,SCAC,0,1,491
ABW,1,1,2,99,1,SCAC,0,1,54
ABW,1,1,3,99,1,SCAC,0,1,497
ABW,1,2,1,2,1,SCAC,0,1,560
ABW,1,2,3,2,1,SCAC,0,1,66
ABW,1,2,1,3,1,SCAC,0,1,10
ABW,1,2,3,3,1,SCAC,0,1,11
ABW,1,2,1,99,1,SCAC,0,1,3698
ABW,1,2,2,99,1,SCAC,0,1,55
ABW,1,2,3,99,1,SCAC,0,1,1222
ABW,1,3,1,2,1,SCAC,0,1,331
ABW,1,3,2,2,1,SCAC,0,1,3
ABW,1,3,3,2,1,SCAC,0,1,30
ABW,1,3,1,3,1,SCAC,0,1,20
ABW,1,3,2,3,1,SCAC,0,1,10
ABW,1,3,3,3,1,SCAC,0,1,48
ABW,1,3,1,99,1,SCAC,0,1,4576
ABW,1,3,2,99,1,SCAC,0,1,120
ABW,1,3,3,99,1,SCAC,0,1,492
ABW,1,99,99,3,1,SCAC,0,1,2
ABW,1,99,99,99,1,SCAC,0,1,1
ABW,2,1,3,1,1,SCAC,0,1,1
ABW,2,1,1,2,1,SCAC,0,1,66
ABW,2,1,3,2,1,SCAC,0,1,96
ABW,2,1,3,3,1,SCAC,0,1,101
ABW,2,1,1,99,1,SCAC,0,1,534
ABW,2,1,2,99,1,SCAC,0,1,21
ABW,2,1,3,99,1,SCAC,0,1,680
ABW,2,2,1,1,1,SCAC,0,1,228
ABW,2,2,3,1,1,SCAC,0,1,13
ABW,2,2,1,2,1,SCAC,0,1,114
ABW,2,2,2,2,1,SCAC,0,1,118
ABW,2,2,3,2,1,SCAC,0,1,49
ABW,2,2,3,3,1,SCAC,0,1,50
ABW,2,2,1,99,1,SCAC,0,1,3624
ABW,2,2,2,99,1,SCAC,0,1,224
ABW,2,2,3,99,1,SCAC,0,1,1978
ABW,2,3,1,1,1,SCAC,0,1,3
ABW,2,3,1,2,1,SCAC,0,1,211
ABW,2,3,2,2,1,SCAC,0,1,1
